"Year","min"
"2020",981
"2019",987.4
"2017",990.2
"2014",996
"2016",1002
"2013",1006.1
"2018",1007.5
"2009",1007.5
"2015",1009
"2012",1009.1
"2011",1021
"2010",1039
"2006",1069
"2003",1093.7
"2008",1098
"2004",1099.5
"2007",1114
"2002",1135.6
"2005",1138
"2001",1184
"1997",1205.5
"1998",1219.5
"1999",1237.2
"2000",1240.4
"1996",1297.9
"1981",1309
"1995",1325.7
"1985",1326
"1986",1351
"1994",1357.7
"1993",1368.5
"1992",1369
"1982",1382
"1989",1402
"1990",1424
"1983",1424
"1987",1447
"1984",1465
"1991",1469
"1988",1484
"1980",1506
"1979",1512
